timestamp,usage_kwh
2025-07-01 00:00,1.2
2025-07-01 01:00,1.0
2025-07-01 02:00,0.9
2025-07-01 03:00,0.8
2025-07-01 04:00,0.8
2025-07-01 05:00,0.9
2025-07-01 06:00,1.5
2025-07-01 07:00,2.8
2025-07-01 08:00,3.5
2025-07-01 09:00,4.2
2025-07-01 10:00,4.5
2025-07-01 11:00,4.3
2025-07-01 12:00,3.8
2025-07-01 13:00,4.0
2025-07-01 14:00,4.2
2025-07-01 15:00,4.1
2025-07-01 16:00,3.9
2025-07-01 17:00,3.5
2025-07-01 18:00,3.2
2025-07-01 19:00,2.8
2025-07-01 20:00,2.5
2025-07-01 21:00,2.2
2025-07-01 22:00,1.8
2025-07-01 23:00,1.5
2025-07-02 00:00,1.3
2025-07-02 01:00,1.0
2025-07-02 02:00,0.9
2025-07-02 03:00,0.8
2025-07-02 04:00,0.7
2025-07-02 05:00,0.8
2025-07-02 06:00,1.4
2025-07-02 07:00,2.5
2025-07-02 08:00,3.2
2025-07-02 09:00,3.8
2025-07-02 10:00,4.0
2025-07-02 11:00,3.9
2025-07-02 12:00,3.5
2025-07-02 13:00,3.7
2025-07-02 14:00,3.9
2025-07-02 15:00,3.8
2025-07-02 16:00,3.4
2025-07-02 17:00,3.0
2025-07-02 18:00,2.7
2025-07-02 19:00,2.4
2025-07-02 20:00,2.1
2025-07-02 21:00,1.9
2025-07-02 22:00,1.6
2025-07-02 23:00,1.4
2025-07-15 00:00,2.5
2025-07-15 01:00,2.2
2025-07-15 02:00,2.0
2025-07-15 03:00,1.8
2025-07-15 04:00,1.7
2025-07-15 05:00,2.0
2025-07-15 06:00,2.8
2025-07-15 07:00,4.5
2025-07-15 08:00,5.2
2025-07-15 09:00,5.8
2025-07-15 10:00,6.0
2025-07-15 11:00,5.9
2025-07-15 12:00,5.2
2025-07-15 13:00,5.5
2025-07-15 14:00,5.7
2025-07-15 15:00,5.4
2025-07-15 16:00,5.0
2025-07-15 17:00,4.5
2025-07-15 18:00,4.0
2025-07-15 19:00,3.5
2025-07-15 20:00,3.2
2025-07-15 21:00,2.8
2025-07-15 22:00,2.5
2025-07-15 23:00,2.2
